,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
27,0.0,0.025499528030793955,0.21007889909729682,0.6762279712223901,0.06360211806920171,0.9310903062670534,1.638440175773656,-7537471.248284109,-inf,973
28,0.0,0.02444431707200839,0.2314044965897497,0.705280476177897,0.0443339820850303,0.9320489158750844,1.7282972049640142,-7084424.982099978,-inf,972
29,0.0,0.02537177959960927,0.1970574572247059,0.7898315992984231,0.06449466905782313,0.8753365107486922,1.8095312894103281,-7083594.040653584,-inf,971
30,0.0,0.024404212190054918,0.2398775622071604,0.7662321437422341,0.0404405497476114,0.9376345257384099,1.7843546022061794,-7070616.383729332,-inf,970
31,0.0,0.024402475079609555,0.17892082138194293,0.8027053295964351,0.11833126496685872,1.0168399209122148,1.7438330650657634,-7038237.062604274,-inf,969
32,0.0,0.023449203866948615,0.17135089355777333,0.819211921513128,0.08756766322527845,0.9505991685550387,1.7755137816354336,-6956046.157497061,-inf,968
33,0.0,0.023300037396226558,0.25084902622109295,0.6450200697652722,0.05167880797467163,0.9539053843713302,1.7398848318641713,-6952357.641163238,-inf,967
34,0.0,0.021012888272053578,0.24760346026920343,0.7459106776749748,0.11322204763432145,0.8843961451266888,2.1024318152952284,-6775686.7183060665,-inf,966
35,0.0,0.02060290683241752,0.18738460595048245,0.7032978126247234,0.07408519108358436,1.04989824440996,1.6669966830203007,-6759583.216482794,-inf,965
36,0.0,0.020388237539579968,0.19912190428026244,0.7417332959442275,0.051530633610206475,0.953938706352493,1.8038888469959764,-6747747.79993548,-inf,964
37,0.0,0.020638439622234953,0.24251643935012085,0.7161745387225276,0.08319500757199721,0.9247761295552629,1.9720755580800418,-6739599.279005141,-inf,963
38,0.0,0.024468734322288424,0.2322979177786068,0.7665249781506579,0.05422717011346595,0.8888089622349145,1.8823489678794703,-6718443.055106038,-inf,962
39,0.0,0.020328844979436586,0.2116454024326595,0.7753045464002045,0.04184932344488454,1.0656204624669536,1.7228327466290774,-6707283.121011369,-inf,961
40,0.0,0.025907795779771488,0.16974173184557378,0.6677878079576661,0.09682019476718653,0.8680997458546094,1.7130599353324272,-6696234.863540545,-inf,960
41,0.0,0.024463756656215405,0.22072743278236168,0.6759041627131017,0.06492432537576442,0.8718870429844502,1.8232897840739453,-6658145.942365458,-inf,959
42,0.0,0.023429292096190296,0.18665313421784602,0.7616049904154789,0.1058349589443173,0.8458180317480202,1.9519592831650359,-6581978.044117298,-inf,958
43,0.0,0.019599393184685072,0.22404364130700094,0.6503214430464599,0.09866220648595442,0.9934573415726553,1.8712721647170436,-6520050.494578843,-inf,957
44,0.0,0.02423071213125916,0.2377869545195615,0.7739728155561554,0.0401836677133892,0.9980749604062473,1.76575264103085,-6499878.348774696,-inf,956
45,0.0,0.021040144608541925,0.24379970464661482,0.7959888599744289,0.05222644555505329,0.9220721865136234,2.005477041138676,-6414316.007735841,-inf,955
46,0.0,0.01939643831525934,0.23090888424871053,0.7049745925734765,0.0901681413072088,0.9395953694793973,2.0044921791968315,-6385125.281931255,-inf,954
47,0.0,0.020605376868296322,0.22031306782499893,0.7653414596108032,0.09873956340358617,0.9529641054946064,1.9977372079015066,-6360456.924100475,-inf,953
48,0.0,0.0186970344626681,0.2236122752319396,0.6910005502210591,0.07828353670987773,1.0110369668538057,1.8972090328078588,-6344116.318862949,-inf,952
49,0.0,0.021022318561455474,0.2006200504266798,0.7936326825406261,0.07497931031638638,1.0308890232010206,1.8309656916314738,-6309838.873643644,-inf,951
50,0.0,0.020391098760887537,0.10064525084859546,0.7732809648620806,0.10983514958652651,0.9022131595197815,1.6596359135586989,-6308749.359447667,-inf,950
51,0.0,0.022471305178217424,0.23108898538136674,0.7713655178056398,0.06401037940714811,1.0803497395701303,1.7631841503654408,-6262002.167257749,-inf,949
52,0.0,0.02028886454161519,0.2288595316057272,0.7919289283533466,0.11851681990141505,0.8859426240445764,2.1803170539149765,-6259881.569474398,-inf,948
